,"Region, subregion, country or area",Year,Urban
145,Lower-middle-income countries,2045,55.99
146,Lower-middle-income countries,2050,59.03
147,Middle-income countries,1950,19.89
148,Middle-income countries,1955,22.17
149,Middle-income countries,1960,24.55
150,Middle-income countries,1965,26.68
151,Middle-income countries,1970,27.83
152,Middle-income countries,1975,29.36
153,Middle-income countries,1980,31.66
154,Middle-income countries,1985,34.27
155,Middle-income countries,1990,36.71
156,Middle-income countries,1995,39.14
157,Middle-income countries,2000,41.64
158,Middle-income countries,2005,44.72
159,Middle-income countries,2010,47.86
160,Middle-income countries,2015,50.83
161,Middle-income countries,2020,53.74
162,Middle-income countries,2025,56.46
163,Middle-income countries,2030,59.05
164,Middle-income countries,2035,61.51
165,Middle-income countries,2040,63.86
166,Middle-income countries,2045,66.11
167,Middle-income countries,2050,68.32
168,More developed regions,1950,54.77
169,More developed regions,1955,57.93
170,More developed regions,1960,61.09
171,More developed regions,1965,64.06
172,More developed regions,1970,66.8
173,More developed regions,1975,68.84
174,More developed regions,1980,70.29
175,More developed regions,1985,71.39
176,More developed regions,1990,72.35
177,More developed regions,1995,73.3
178,More developed regions,2000,74.24
179,More developed regions,2005,75.86
180,More developed regions,2010,77.25
181,More developed regions,2015,78.13
182,More developed regions,2020,79.07
183,More developed regions,2025,80.16
184,More developed regions,2030,81.38
185,More developed regions,2035,82.69
186,More developed regions,2040,84.04
187,More developed regions,2045,85.36
188,More developed regions,2050,86.59
189,Sub-Saharan Africa,1950,11.1
190,Sub-Saharan Africa,1955,12.85
191,Sub-Saharan Africa,1960,14.89
192,Sub-Saharan Africa,1965,16.52
193,Sub-Saharan Africa,1970,18.3
194,Sub-Saharan Africa,1975,20.42
195,Sub-Saharan Africa,1980,22.59
196,Sub-Saharan Africa,1985,24.9
197,Sub-Saharan Africa,1990,27.47
198,Sub-Saharan Africa,1995,29.57
199,Sub-Saharan Africa,2000,31.42
200,Sub-Saharan Africa,2005,33.7
201,Sub-Saharan Africa,2010,36.15
202,Sub-Saharan Africa,2015,38.78
203,Sub-Saharan Africa,2020,41.45
204,Sub-Saharan Africa,2025,44.19
205,Sub-Saharan Africa,2030,46.97
206,Sub-Saharan Africa,2035,49.75
207,Sub-Saharan Africa,2040,52.52
208,Sub-Saharan Africa,2045,55.29
209,Sub-Saharan Africa,2050,58.05
210,Upper-middle-income countries,1950,22.08
211,Upper-middle-income countries,1955,25.08
212,Upper-middle-income countries,1960,28.4
213,Upper-middle-income countries,1965,31.26
214,Upper-middle-income countries,1970,32.19
215,Upper-middle-income countries,1975,33.59
216,Upper-middle-income countries,1980,36.28
217,Upper-middle-income countries,1985,39.79
218,Upper-middle-income countries,1990,42.91
219,Upper-middle-income countries,1995,46.44
220,Upper-middle-income countries,2000,50.26
221,Upper-middle-income countries,2005,55.02
222,Upper-middle-income countries,2010,59.76
223,Upper-middle-income countries,2015,64.12
224,Upper-middle-income countries,2020,68.2
225,Upper-middle-income countries,2025,71.75
226,Upper-middle-income countries,2030,74.76
227,Upper-middle-income countries,2035,77.28
228,Upper-middle-income countries,2040,79.34
229,Upper-middle-income countries,2045,81.02
230,Upper-middle-income countries,2050,82.56
231,World,1950,29.61
232,World,1955,31.64
233,World,1960,33.75
234,World,1965,35.59
235,World,1970,36.59
236,World,1975,37.72
237,World,1980,39.35
238,World,1985,41.2
239,World,1990,42.96
240,World,1995,44.78
241,World,2000,46.68
242,World,2005,49.16
243,World,2010,51.66
244,World,2015,53.93
245,World,2020,56.17
246,World,2025,58.33
247,World,2030,60.43
248,World,2035,62.48
249,World,2040,64.47
250,World,2045,66.42
251,World,2050,68.36
