,County,2022,total,pct
201,"Kern , California",916108,333287557,0.002748701476425056
202,"Kings , California",152981,333287557,0.0004590060348397585
203,"Lake , California",68191,333287557,0.00020460109766414113
204,"Lassen , California",29904,333287557,8.97243217513818e-05
205,"Los Angeles , California",9721138,333287557,0.029167419532556988
206,"Madera , California",160256,333287557,0.0004808340324568433
207,"Marin , California",256018,333287557,0.0007681594905746812
208,"Mariposa , California",17020,333287557,5.106701298182578e-05
209,"Mendocino , California",89783,333287557,0.00026938599450923996
210,"Merced , California",290014,333287557,0.000870161498408415
211,"Modoc , California",8511,333287557,2.5536506902956476e-05
212,"Mono , California",12978,333287557,3.893934750165306e-05
213,"Monterey , California",432858,333287557,0.001298752356362347
214,"Napa , California",134300,333287557,0.00040295533745353715
215,"Nevada , California",102293,333287557,0.000306921149174495
216,"Orange , California",3151184,333287557,0.009454850425154036
217,"Placer , California",417772,333287557,0.0012534881402728156
218,"Plumas , California",19351,333287557,5.806097345542366e-05
219,"Riverside , California",2473902,333287557,0.007422725355450338
220,"Sacramento , California",1584169,333287557,0.004753159746674851
221,"San Benito , California",67579,333287557,0.00020276484549346677
222,"San Bernardino , California",2193656,333287557,0.006581871881883667
223,"San Diego , California",3276208,333287557,0.009829973940491274
224,"San Francisco , California",808437,333287557,0.002425644111280158
225,"San Joaquin , California",793229,333287557,0.0023800138449213094
226,"San Luis Obispo , California",282013,333287557,0.0008461552016476871
227,"San Mateo , California",729181,333287557,0.002187843454353743
228,"Santa Barbara , California",443837,333287557,0.0013316938801888724
229,"Santa Clara , California",1870945,333287557,0.005613605910886136
230,"Santa Cruz , California",264370,333287557,0.0007932189319627075
231,"Shasta , California",180930,333287557,0.0005428645510459306
232,"Sierra , California",3217,333287557,9.652325544214661e-06
233,"Siskiyou , California",43660,333287557,0.00013099798982294439
234,"Solano , California",448747,333287557,0.0013464259033228775
235,"Sonoma , California",482650,333287557,0.0014481488728365578
236,"Stanislaus , California",551275,333287557,0.001654052149327615
237,"Sutter , California",98503,333287557,0.0002955495875293058
238,"Tehama , California",65245,333287557,0.00019576188378373814
239,"Trinity , California",15781,333287557,4.7349502459823304e-05
240,"Tulare , California",477544,333287557,0.00143282876894201
241,"Tuolumne , California",54531,333287557,0.00016361546914876274
242,"Ventura , California",832605,333287557,0.002498158069549533
243,"Yolo , California",222115,333287557,0.0006664365210610008
244,"Yuba , California",84310,333287557,0.00025296473939469635
245,"Adams , Colorado",527575,333287557,0.0015829423838946378
246,"Alamosa , Colorado",16592,333287557,4.978283662717117e-05
247,"Arapahoe , Colorado",655808,333287557,0.0019676942214797415
248,"Archuleta , Colorado",14003,333287557,4.201476984632823e-05
249,"Baca , Colorado",3432,333287557,1.0297414133585552e-05
250,"Bent , Colorado",5399,333287557,1.6199224623318296e-05
251,"Boulder , Colorado",327468,333287557,0.0009825389310888675
252,"Broomfield , Colorado",76121,333287557,0.0002283943651697744
253,"Chaffee , Colorado",20223,333287557,6.067733275743025e-05
254,"Cheyenne , Colorado",1732,333287557,5.196713659490144e-06
255,"Clear Creek , Colorado",9355,333287557,2.8068854667742665e-05
256,"Conejos , Colorado",7579,333287557,2.2740122878334758e-05
257,"Costilla , Colorado",3603,333287557,1.0810484593038677e-05
258,"Crowley , Colorado",5614,333287557,1.6844313212689187e-05
259,"Custer , Colorado",5335,333287557,1.6007198252528822e-05
260,"Delta , Colorado",31602,333287557,9.481902140139003e-05
261,"Denver , Colorado",713252,333287557,0.002140049890911469
262,"Dolores , Colorado",2455,333287557,7.366011567002485e-06
263,"Douglas , Colorado",375988,333287557,0.0011281189234436375
264,"Eagle , Colorado",55285,333287557,0.00016587777982962623
265,"Elbert , Colorado",27799,333287557,8.340845439963425e-05
266,"El Paso , Colorado",740567,333287557,0.0022220061458820078
267,"Fremont , Colorado",49621,333287557,0.00014888344601475775
268,"Garfield , Colorado",62271,333287557,0.00018683865836611476
269,"Gilpin , Colorado",5891,333287557,1.7675427348762378e-05
270,"Grand , Colorado",15769,333287557,4.731349751530028e-05
271,"Gunnison , Colorado",17267,333287557,5.1808114756591405e-05
272,"Hinsdale , Colorado",775,333287557,2.3253193337787885e-06
273,"Huerfano , Colorado",7082,333287557,2.1248918092672748e-05
274,"Jackson , Colorado",1302,333287557,3.906536480748365e-06
275,"Jefferson , Colorado",576143,333287557,0.0017286663960275
276,"Kiowa , Colorado",1424,333287557,4.2725867500658e-06
277,"Kit Carson , Colorado",6961,333287557,2.0885868235398898e-05
278,"Lake , Colorado",7327,333287557,2.1984019043351204e-05
279,"La Plata , Colorado",56607,333287557,0.0001698443245512463
280,"Larimer , Colorado",366778,333287557,0.0011004851285222148
281,"Las Animas , Colorado",14327,333287557,4.298690334844994e-05
282,"Lincoln , Colorado",5510,333287557,1.653227036015629e-05
283,"Logan , Colorado",20823,333287557,6.247757998358157e-05
284,"Mesa , Colorado",158636,333287557,0.0004759733649462347
285,"Mineral , Colorado",931,333287557,2.793383612578132e-06
286,"Moffat , Colorado",13177,333287557,3.9536429498326575e-05
287,"Montezuma , Colorado",26468,333287557,7.94149059696219e-05
288,"Montrose , Colorado",43811,333287557,0.0001314510520415258
289,"Morgan , Colorado",29239,333287557,8.772904774239741e-05
290,"Otero , Colorado",18303,333287557,5.491654163374602e-05
291,"Ouray , Colorado",5100,333287557,1.5302101422286222e-05
292,"Park , Colorado",17939,333287557,5.382439164988089e-05
293,"Phillips , Colorado",4449,333287557,1.3348833181912038e-05
294,"Pitkin , Colorado",16876,333287557,5.063495364754946e-05
295,"Prowers , Colorado",11854,333287557,3.556688436466291e-05
296,"Pueblo , Colorado",169544,333287557,0.0005087018595176657
297,"Rio Blanco , Colorado",6569,333287557,1.970970671431337e-05
298,"Rio Grande , Colorado",11325,333287557,3.3979666393606164e-05
299,"Routt , Colorado",25007,333287557,7.503130397394344e-05
300,"Saguache , Colorado",6623,333287557,1.9871728964666987e-05
301,"San Juan , Colorado",803,333287557,2.4093308709991833e-06
302,"San Miguel , Colorado",8003,333287557,2.4012297584815025e-05
303,"Sedgwick , Colorado",2295,333287557,6.8859456400288e-06
304,"Summit , Colorado",30565,333287557,9.170759411219184e-05
305,"Teller , Colorado",24857,333287557,7.45812421674056e-05
306,"Washington , Colorado",4812,333287557,1.4437982753733588e-05
307,"Weld , Colorado",350176,333287557,0.0010506722877746079
308,"Yuma , Colorado",9899,333287557,2.9701078819453198e-05
309,"Capitol , Connecticut",981447,333287557,0.002944745398940891
310,"Greater Bridgeport , Connecticut",327286,333287557,0.000981992856096935
311,"Lower Connecticut River Valley , Connecticut",176622,333287557,0.0005299387759621641
312,"Naugatuck Valley , Connecticut",454083,333287557,0.0013624361019874498
313,"Northeastern Connecticut , Connecticut",96196,333287557,0.000288627636944754
314,"Northwest Hills , Connecticut",113234,333287557,0.0003397486573433643
315,"South Central Connecticut , Connecticut",573244,333287557,0.0017199682015131457
316,"Southeastern Connecticut , Connecticut",280403,333287557,0.0008413245382575144
317,"Western Connecticut , Connecticut",623690,333287557,0.0018713269874638615
318,"Kent , Delaware",186946,333287557,0.0005609150299001411
319,"New Castle , Delaware",575494,333287557,0.001726719128611213
320,"Sussex , Delaware",255956,333287557,0.0007679734650279788
321,"District of Columbia, District of Columbia",671803,333287557,0.002015685812116892
322,"Alachua , Florida",284030,333287557,0.0008522070327395991
323,"Baker , Florida",27803,333287557,8.342045604780859e-05
324,"Bay , Florida",185134,333287557,0.0005554782832771642
325,"Bradford , Florida",27313,333287557,8.195025414645167e-05
326,"Brevard , Florida",630693,333287557,0.0018923388730050909
327,"Broward , Florida",1947026,333287557,0.005841880259574167
328,"Calhoun , Florida",13464,333287557,4.039754775483562e-05
329,"Charlotte , Florida",202661,333287557,0.0006080665051650878
330,"Citrus , Florida",162529,333287557,0.0004876539690319132
331,"Clay , Florida",226589,333287557,0.0006798603645440024
332,"Collier , Florida",397994,333287557,0.0011941459908747809
333,"Columbia , Florida",71908,333287557,0.00021575362923014854
334,"DeSoto , Florida",35312,333287557,0.00010595055008309236
335,"Dixie , Florida",17124,333287557,5.137905583435868e-05
336,"Duval , Florida",1016536,333287557,0.003050026857138264
337,"Escambia , Florida",324878,333287557,0.000974767863895981
338,"Flagler , Florida",126705,333287557,0.000380167207982505
339,"Franklin , Florida",12498,333287557,3.7499149720731995e-05
340,"Gadsden , Florida",43403,333287557,0.0001302268839277429
341,"Gilchrist , Florida",18992,333287557,5.6983825531776456e-05
342,"Glades , Florida",12454,333287557,3.736713159081424e-05
343,"Gulf , Florida",15314,333287557,4.5948310035468863e-05
344,"Hamilton , Florida",13217,333287557,3.965644598007e-05
345,"Hardee , Florida",25645,333287557,7.694556685775101e-05
346,"Hendry , Florida",41339,333287557,0.00012403403346978236
347,"Hernando , Florida",206896,333287557,0.0006207732501696725
348,"Highlands , Florida",105618,333287557,0.0003168975192194169
349,"Hillsborough , Florida",1513301,333287557,0.004540526545970032
350,"Holmes , Florida",19651,333287557,5.896109706849932e-05
351,"Indian River , Florida",167352,333287557,0.0005021249563181262
352,"Jackson , Florida",48211,333287557,0.00014465286503330215
353,"Jefferson , Florida",15042,333287557,4.5132197959613594e-05
354,"Lafayette , Florida",7786,333287557,2.3361208171356965e-05
355,"Lake , Florida",410139,333287557,0.0012305859951441272
356,"Lee , Florida",822453,333287557,0.002467697886483053
357,"Leon , Florida",297369,333287557,0.0008922295289889865
358,"Levy , Florida",45260,333287557,0.00013579864909268126
359,"Liberty , Florida",7603,333287557,2.281213276738081e-05
360,"Madison , Florida",18198,333287557,5.460149836916954e-05
361,"Manatee , Florida",429125,333287557,0.001287551818203642
362,"Marion , Florida",396415,333287557,0.0011894083402579593
363,"Martin , Florida",162006,333287557,0.000486084753533118
364,"Miami-Dade , Florida",2673837,333287557,0.008022612737384612
365,"Monroe , Florida",81708,333287557,0.0002451576672572868
366,"Nassau , Florida",97899,333287557,0.00029373733865498017
367,"Okaloosa , Florida",216482,333287557,0.0006495352000194835
368,"Okeechobee , Florida",40412,333287557,0.00012125265150537859
369,"Orange , Florida",1452726,333287557,0.004358776586429838
370,"Osceola , Florida",422545,333287557,0.0012678091069568494
371,"Palm Beach , Florida",1518477,333287557,0.00455605667870763
372,"Pasco , Florida",608794,333287557,0.0018266328496626112
373,"Pinellas , Florida",961739,333287557,0.0028856132783859076
374,"Polk , Florida",787404,333287557,0.0023625364447674236
375,"Putnam , Florida",74731,333287557,0.0002242237924291905
376,"St. Johns , Florida",306841,333287557,0.0009206494318658287
377,"St. Lucie , Florida",358704,333287557,0.0010762598016823052
378,"Santa Rosa , Florida",198268,333287557,0.0005948856950576166
379,"Sarasota , Florida",462286,333287557,0.001387048481980982
380,"Seminole , Florida",478772,333287557,0.001436513274931533
381,"Sumter , Florida",144970,333287557,0.0004349697339585948
382,"Suwannee , Florida",45411,333287557,0.00013625171131126265
383,"Taylor , Florida",21283,333287557,6.385776952363092e-05
384,"Union , Florida",15460,333287557,4.638637019383235e-05
385,"Volusia , Florida",579192,333287557,0.0017378146523483924
386,"Wakulla , Florida",35178,333287557,0.0001055484948692519
387,"Walton , Florida",83304,333287557,0.00024994632487884927
388,"Washington , Florida",25414,333287557,7.625247167568275e-05
389,"Appling , Georgia",18428,333287557,5.529159313919421e-05
390,"Atkinson , Georgia",8183,333287557,2.4552371752660422e-05
391,"Bacon , Georgia",11191,333287557,3.3577611179765706e-05
392,"Baker , Georgia",2788,333287557,8.365148777516467e-06
393,"Baldwin , Georgia",43635,333287557,0.00013092297952185474
394,"Banks , Georgia",19328,333287557,5.799196397842119e-05
395,"Barrow , Georgia",89299,333287557,0.00026793379508014456
396,"Bartow , Georgia",112816,333287557,0.00033849448510914556
397,"Ben Hill , Georgia",17069,333287557,5.121403317196147e-05
398,"Berrien , Georgia",18214,333287557,5.464950496186691e-05
399,"Bibb , Georgia",156197,333287557,0.0004686553599719296
400,"Bleckley , Georgia",12257,333287557,3.677605041822788e-05
401,"Brantley , Georgia",18183,333287557,5.455649218851576e-05
402,"Brooks , Georgia",16253,333287557,4.876569694439568e-05
403,"Bryan , Georgia",48225,333287557,0.00014469487080191236
404,"Bulloch , Georgia",83059,333287557,0.0002492112239281708
405,"Burke , Georgia",24388,333287557,7.317404891896399e-05
406,"Butts , Georgia",26649,333287557,7.995798054951088e-05
407,"Calhoun , Georgia",5469,333287557,1.6409253466369284e-05
408,"Camden , Georgia",57013,333287557,0.00017106249184094203
409,"Candler , Georgia",11000,333287557,3.300453247944087e-05
410,"Carroll , Georgia",124592,333287557,0.0003738273373344088
411,"Catoosa , Georgia",68826,333287557,0.00020650635931181792
412,"Charlton , Georgia",12781,333287557,3.83482663290667e-05
413,"Chatham , Georgia",301107,333287557,0.0009034450692079093
414,"Chattahoochee , Georgia",8819,333287557,2.646063381238082e-05
415,"Chattooga , Georgia",24936,333287557,7.481827471884887e-05
416,"Cherokee , Georgia",281278,333287557,0.0008439498987956517
417,"Clarke , Georgia",129875,333287557,0.0003896785141606712
418,"Clay , Georgia",2845,333287557,8.536172264000844e-06
419,"Clayton , Georgia",296564,333287557,0.0008898141972939001
420,"Clinch , Georgia",6662,333287557,1.9988745034366824e-05
421,"Cobb , Georgia",771952,333287557,0.00231617407786994
422,"Coffee , Georgia",43172,333287557,0.00012953378874567466
423,"Colquitt , Georgia",45762,333287557,0.0001373048559385612
424,"Columbia , Georgia",162419,333287557,0.0004873239237071188
425,"Cook , Georgia",17404,333287557,5.221917120656263e-05
426,"Coweta , Georgia",152882,333287557,0.00045870899404744353
427,"Crawford , Georgia",12140,333287557,3.642500220912838e-05
428,"Crisp , Georgia",19708,333287557,5.9132120554983696e-05
429,"Dade , Georgia",16081,333287557,4.8249626072898966e-05
430,"Dawson , Georgia",30138,333287557,9.042641816958081e-05
431,"Decatur , Georgia",28982,333287557,8.695794184719594e-05
432,"DeKalb , Georgia",762820,333287557,0.0022887743150879166
433,"Dodge , Georgia",19802,333287557,5.9414159287080735e-05
434,"Dooly , Georgia",10572,333287557,3.172035612478626e-05
435,"Dougherty , Georgia",82966,333287557,0.00024893218560811736
436,"Douglas , Georgia",147316,333287557,0.00044200870061284647
437,"Early , Georgia",10574,333287557,3.1726356948873434e-05
438,"Echols , Georgia",3686,333287557,1.1059518792656277e-05
439,"Effingham , Georgia",69041,333287557,0.00020715144790118883
440,"Elbert , Georgia",19814,333287557,5.945016423160376e-05
441,"Emanuel , Georgia",22929,333287557,6.87964477473727e-05
442,"Evans , Georgia",10695,333287557,3.2089406806147285e-05
443,"Fannin , Georgia",25737,333287557,7.722160476576088e-05
444,"Fayette , Georgia",122030,333287557,0.00036614028167874266
445,"Floyd , Georgia",99443,333287557,0.00029836997485027623
446,"Forsyth , Georgia",267237,333287557,0.0008018211132916673
447,"Franklin , Georgia",24128,333287557,7.239394178763175e-05
448,"Fulton , Georgia",1074634,333287557,0.003224344796046496
449,"Gilmer , Georgia",32407,333287557,9.723435309647639e-05
450,"Glascock , Georgia",2939,333287557,8.818210996097883e-06
451,"Glynn , Georgia",85079,333287557,0.00025527205625621363
452,"Gordon , Georgia",58954,333287557,0.00017688629161754154
453,"Grady , Georgia",26008,333287557,7.803471642957256e-05
454,"Greene , Georgia",20139,333287557,6.042529814576906e-05
