,Country,Time,Frequency,MEAS,Value,vegaistrash
246,France,2016,Annual,PCT,10.8,1
249,France,2017,Annual,PCT,10.8,1
247,France,2018,Annual,PCT,10.8,1
250,France,2019,Annual,PCT,10.8,1
251,France,2020,Annual,PCT,10.8,1
252,Germany,2000,Annual,PCT,24.6,1
253,Germany,2001,Annual,PCT,23.7,1
254,Germany,2002,Annual,PCT,23.5,1
255,Germany,2003,Annual,PCT,23.0,1
256,Germany,2004,Annual,PCT,22.2,1
257,Germany,2005,Annual,PCT,21.5,1
258,Germany,2006,Annual,PCT,20.6,1
259,Germany,2007,Annual,PCT,19.8,1
260,Germany,2008,Annual,PCT,19.0,1
261,Germany,2009,Annual,PCT,18.8,1
262,Germany,2010,Annual,PCT,18.9,1
263,Germany,2011,Annual,PCT,18.4,1
264,Germany,2012,Annual,PCT,18.3,1
265,Germany,2013,Annual,PCT,18.0,1
266,Germany,2014,Annual,PCT,17.7,1
269,Germany,2015,Annual,PCT,17.6,1
267,Germany,2016,Annual,PCT,17.0,1
270,Germany,2017,Annual,PCT,16.7,1
268,Germany,2018,Annual,PCT,16.6,1
271,Germany,2019,Annual,PCT,16.3,1
272,Germany,2020,Annual,PCT,16.3,1
273,Greece,2000,,,24.9,1
274,Greece,2001,Annual,PCT,24.9,1
275,Greece,2002,Annual,PCT,24.9,1
276,Greece,2003,Annual,PCT,24.9,1
277,Greece,2004,Annual,PCT,24.1,1
278,Greece,2005,Annual,PCT,24.1,1
279,Greece,2006,Annual,PCT,24.1,1
280,Greece,2007,Annual,PCT,22.6,1
281,Greece,2008,Annual,PCT,22.6,1
282,Greece,2009,Annual,PCT,22.6,1
283,Greece,2010,Annual,PCT,22.2,1
284,Greece,2011,Annual,PCT,22.2,1
285,Greece,2012,Annual,PCT,22.2,1
286,Greece,2013,Annual,PCT,23.1,1
287,Greece,2014,Annual,PCT,23.1,1
290,Greece,2015,Annual,PCT,23.1,1
288,Greece,2016,Annual,PCT,19.0,1
291,Greece,2017,Annual,PCT,19.0,1
289,Greece,2018,Annual,PCT,19.0,1
292,Greece,2019,Annual,PCT,19.0,1
293,Greece,2020,Annual,PCT,19.0,1
294,Hungary,2000,Annual,PCT,23.8,1
295,Hungary,2001,Annual,PCT,20.4,1
296,Hungary,2002,Annual,PCT,20.4,1
297,Hungary,2003,Annual,PCT,18.9,1
298,Hungary,2004,Annual,PCT,17.9,1
299,Hungary,2005,Annual,PCT,17.3,1
300,Hungary,2006,Annual,PCT,17.3,1
301,Hungary,2007,Annual,PCT,17.3,1
302,Hungary,2008,Annual,PCT,15.3,1
303,Hungary,2009,Annual,PCT,15.3,1
304,Hungary,2010,Annual,PCT,15.3,1
305,Hungary,2011,Annual,PCT,15.3,1
306,Hungary,2012,Annual,PCT,12.5,1
307,Hungary,2013,Annual,PCT,12.5,1
308,Hungary,2014,Annual,PCT,11.0,1
311,Hungary,2015,Annual,PCT,11.0,1
309,Hungary,2016,Annual,PCT,9.2,1
312,Hungary,2017,Annual,PCT,9.2,1
310,Hungary,2018,Annual,PCT,8.3,1
313,Hungary,2019,Annual,PCT,8.3,1
314,Hungary,2020,Annual,PCT,8.3,1
315,Iceland,2000,Annual,PCT,89.1,1
316,Iceland,2001,Annual,PCT,88.9,1
317,Iceland,2002,Annual,PCT,93.3,1
318,Iceland,2003,Annual,PCT,86.5,1
319,Iceland,2004,Annual,PCT,84.1,1
320,Iceland,2005,Annual,PCT,84.1,1
321,Iceland,2006,Annual,PCT,85.2,1
322,Iceland,2007,Annual,PCT,84.9,1
323,Iceland,2008,Annual,PCT,84.7,1
324,Iceland,2009,Annual,PCT,84.9,1
325,Iceland,2010,Annual,PCT,85.2,1
326,Iceland,2011,Annual,PCT,85.0,1
327,Iceland,2012,Annual,PCT,85.3,1
328,Iceland,2013,Annual,PCT,88.9,1
329,Iceland,2014,Annual,PCT,90.4,1
332,Iceland,2015,Annual,PCT,91.6,1
330,Iceland,2016,Annual,PCT,90.4,1
333,Iceland,2017,Annual,PCT,91.0,1
331,Iceland,2018,Annual,PCT,90.7,1
334,Iceland,2019,Annual,PCT,90.7,1
335,Iceland,2020,Annual,PCT,92.2,1
336,Ireland,2000,Annual,PCT,35.9,1
337,Ireland,2001,Annual,PCT,35.0,1
338,Ireland,2002,Annual,PCT,35.1,1
339,Ireland,2003,Annual,PCT,34.9,1
340,Ireland,2004,Annual,PCT,33.6,1
341,Ireland,2005,Annual,PCT,32.4,1
342,Ireland,2006,Annual,PCT,31.7,1
343,Ireland,2007,Annual,PCT,30.5,1
344,Ireland,2008,Annual,PCT,30.9,1
345,Ireland,2009,Annual,PCT,31.9,1
346,Ireland,2010,Annual,PCT,31.6,1
347,Ireland,2011,Annual,PCT,31.6,1
348,Ireland,2012,Annual,PCT,30.1,1
349,Ireland,2013,Annual,PCT,28.5,1
350,Ireland,2014,Annual,PCT,26.3,1
353,Ireland,2015,Annual,PCT,25.4,1
351,Ireland,2016,Annual,PCT,23.4,1
354,Ireland,2017,Annual,PCT,24.3,1
352,Ireland,2018,Annual,PCT,24.1,1
355,Ireland,2019,Annual,PCT,25.1,1
356,Ireland,2020,Annual,PCT,26.2,1
357,Israel,2000,Annual,PCT,37.7,1
358,Israel,2001,Annual,PCT,37.7,1
359,Israel,2002,Annual,PCT,37.7,1
360,Israel,2003,Annual,PCT,37.7,1
361,Israel,2004,Annual,PCT,37.7,1
362,Israel,2005,Annual,PCT,37.7,1
363,Israel,2006,Annual,PCT,37.7,1
364,Israel,2007,Annual,PCT,30.3,1
365,Israel,2008,Annual,PCT,30.3,1
366,Israel,2009,Annual,PCT,30.3,1
367,Israel,2010,Annual,PCT,30.3,1
368,Israel,2011,Annual,PCT,30.3,1
369,Israel,2012,Annual,PCT,22.8,1
370,Israel,2013,Annual,PCT,22.8,1
371,Israel,2014,Annual,PCT,22.8,1
374,Israel,2015,Annual,PCT,22.8,1
372,Israel,2016,Annual,PCT,22.8,1
375,Israel,2017,Annual,PCT,25.0,1
373,Israel,2018,Annual,PCT,25.0,1
376,Israel,2019,Annual,PCT,25.0,1
377,Israel,2020,Annual,PCT,25.0,1
378,Italy,2000,Annual,PCT,34.8,1
379,Italy,2001,Annual,PCT,34.2,1
380,Italy,2002,Annual,PCT,33.7,1
381,Italy,2003,Annual,PCT,33.6,1
382,Italy,2004,Annual,PCT,34.0,1
383,Italy,2005,Annual,PCT,33.8,1
384,Italy,2006,Annual,PCT,33.6,1
385,Italy,2007,Annual,PCT,34.0,1
386,Italy,2008,Annual,PCT,33.9,1
387,Italy,2009,Annual,PCT,34.7,1
388,Italy,2010,Annual,PCT,35.3,1
389,Italy,2011,Annual,PCT,35.2,1
390,Italy,2012,Annual,PCT,35.5,1
391,Italy,2013,Annual,PCT,35.7,1
392,Italy,2014,Annual,PCT,35.4,1
395,Italy,2015,Annual,PCT,34.2,1
393,Italy,2016,Annual,PCT,33.6,1
396,Italy,2017,Annual,PCT,33.2,1
394,Italy,2018,Annual,PCT,32.6,1
397,Italy,2019,Annual,PCT,32.5,1
398,Italy,2020,Annual,PCT,32.5,1
399,Japan,2000,Annual,PCT,21.5,1
400,Japan,2001,Annual,PCT,20.9,1
401,Japan,2002,Annual,PCT,20.3,1
402,Japan,2003,Annual,PCT,19.7,1
403,Japan,2004,Annual,PCT,19.3,1
404,Japan,2005,Annual,PCT,18.8,1
405,Japan,2006,Annual,PCT,18.3,1
406,Japan,2007,Annual,PCT,18.3,1
407,Japan,2008,Annual,PCT,18.2,1
408,Japan,2009,Annual,PCT,18.5,1
409,Japan,2010,Annual,PCT,18.4,1
410,Japan,2011,Annual,PCT,19.0,1
411,Japan,2012,Annual,PCT,18.0,1
412,Japan,2013,Annual,PCT,17.8,1
413,Japan,2014,Annual,PCT,17.6,1
416,Japan,2015,Annual,PCT,17.5,1
414,Japan,2016,Annual,PCT,17.4,1
417,Japan,2017,Annual,PCT,17.2,1
415,Japan,2018,Annual,PCT,17.0,1
418,Japan,2019,Annual,PCT,16.8,1
419,Japan,2020,Annual,PCT,16.8,1
420,Korea,2000,Annual,PCT,11.4,1
421,Korea,2001,Annual,PCT,11.5,1
422,Korea,2002,Annual,PCT,11.3,1
423,Korea,2003,Annual,PCT,10.7,1
424,Korea,2004,Annual,PCT,10.3,1
425,Korea,2005,Annual,PCT,9.9,1
426,Korea,2006,Annual,PCT,10.0,1
427,Korea,2007,Annual,PCT,10.5,1
428,Korea,2008,Annual,PCT,10.2,1
429,Korea,2009,Annual,PCT,9.9,1
430,Korea,2010,Annual,PCT,9.6,1
431,Korea,2011,Annual,PCT,9.8,1
432,Korea,2012,Annual,PCT,9.9,1
433,Korea,2013,Annual,PCT,10.1,1
434,Korea,2014,Annual,PCT,10.1,1
437,Korea,2015,Annual,PCT,10.0,1
435,Korea,2016,Annual,PCT,10.0,1
438,Korea,2017,Annual,PCT,10.5,1
436,Korea,2018,Annual,PCT,11.6,1
439,Korea,2019,Annual,PCT,11.6,1
440,Korea,2020,Annual,PCT,11.6,1
441,Latvia,2000,,,21.0,1
442,Latvia,2001,,,21.0,1
443,Latvia,2002,,,21.0,1
444,Latvia,2003,Annual,PCT,21.0,1
445,Latvia,2004,Annual,PCT,21.0,1
446,Latvia,2005,Annual,PCT,21.0,1
447,Latvia,2006,Annual,PCT,18.0,1
448,Latvia,2007,Annual,PCT,16.7,1
449,Latvia,2008,Annual,PCT,15.2,1
450,Latvia,2009,Annual,PCT,15.2,1
451,Latvia,2010,Annual,PCT,15.1,1
452,Latvia,2011,Annual,PCT,13.7,1
453,Latvia,2012,Annual,PCT,13.2,1
454,Latvia,2013,Annual,PCT,12.9,1
455,Latvia,2014,Annual,PCT,12.8,1
458,Latvia,2015,Annual,PCT,12.7,1
456,Latvia,2016,Annual,PCT,12.4,1
459,Latvia,2017,Annual,PCT,12.3,1
457,Latvia,2018,Annual,PCT,11.6,1
460,Latvia,2019,Annual,PCT,11.6,1
461,Latvia,2020,Annual,PCT,11.6,1
462,Lithuania,2000,,,18.5,1
463,Lithuania,2001,Annual,PCT,18.5,1
464,Lithuania,2002,Annual,PCT,18.5,1
465,Lithuania,2003,Annual,PCT,12.2,1
466,Lithuania,2004,Annual,PCT,12.2,1
467,Lithuania,2005,Annual,PCT,12.2,1
468,Lithuania,2006,Annual,PCT,9.8,1
469,Lithuania,2007,Annual,PCT,9.3,1
470,Lithuania,2008,Annual,PCT,8.9,1
471,Lithuania,2009,Annual,PCT,10.0,1
472,Lithuania,2010,Annual,PCT,10.1,1
473,Lithuania,2011,Annual,PCT,9.7,1
474,Lithuania,2012,Annual,PCT,9.0,1
475,Lithuania,2013,Annual,PCT,8.4,1
476,Lithuania,2014,Annual,PCT,8.1,1
479,Lithuania,2015,Annual,PCT,7.9,1
477,Lithuania,2016,Annual,PCT,7.7,1
480,Lithuania,2017,Annual,PCT,7.7,1
478,Lithuania,2018,Annual,PCT,7.1,1
481,Lithuania,2019,Annual,PCT,7.4,1
482,Lithuania,2020,Annual,PCT,7.4,1
483,Luxembourg,2000,,,44.0,1
484,Luxembourg,2001,,,44.0,1
485,Luxembourg,2002,,,44.0,1
486,Luxembourg,2003,Annual,PCT,44.0,1
487,Luxembourg,2004,Annual,PCT,43.4,1
488,Luxembourg,2005,Annual,PCT,42.6,1
489,Luxembourg,2006,Annual,PCT,41.4,1
490,Luxembourg,2007,Annual,PCT,39.5,1
491,Luxembourg,2008,Annual,PCT,37.6,1
492,Luxembourg,2009,Annual,PCT,36.8,1
493,Luxembourg,2010,Annual,PCT,36.1,1
494,Luxembourg,2011,Annual,PCT,36.6,1
495,Luxembourg,2012,Annual,PCT,35.3,1
496,Luxembourg,2013,Annual,PCT,34.8,1
497,Luxembourg,2014,Annual,PCT,34.1,1
500,Luxembourg,2015,Annual,PCT,33.3,1
498,Luxembourg,2016,Annual,PCT,32.3,1
501,Luxembourg,2017,Annual,PCT,32.1,1
499,Luxembourg,2018,Annual,PCT,30.4,1
502,Luxembourg,2019,Annual,PCT,28.2,1
503,Luxembourg,2020,Annual,PCT,28.2,1
504,Mexico,2000,Annual,PCT,16.7,1
505,Mexico,2001,Annual,PCT,16.7,1
506,Mexico,2002,Annual,PCT,15.5,1
507,Mexico,2003,Annual,PCT,15.5,1
508,Mexico,2004,Annual,PCT,15.5,1
509,Mexico,2005,Annual,PCT,16.9,1
510,Mexico,2006,Annual,PCT,16.3,1
511,Mexico,2007,Annual,PCT,16.7,1
512,Mexico,2008,Annual,PCT,15.6,1
513,Mexico,2009,Annual,PCT,15.3,1
514,Mexico,2010,Annual,PCT,14.5,1
515,Mexico,2011,Annual,PCT,14.7,1
516,Mexico,2012,Annual,PCT,14.0,1
517,Mexico,2013,Annual,PCT,13.8,1
518,Mexico,2014,Annual,PCT,13.6,1
521,Mexico,2015,Annual,PCT,13.1,1
519,Mexico,2016,Annual,PCT,12.7,1
522,Mexico,2017,Annual,PCT,12.5,1
520,Mexico,2018,Annual,PCT,12.0,1
523,Mexico,2019,Annual,PCT,12.3,1
524,Mexico,2020,Annual,PCT,12.4,1
525,Netherlands,2000,Annual,PCT,22.3,1
526,Netherlands,2001,Annual,PCT,21.6,1
527,Netherlands,2002,Annual,PCT,21.4,1
528,Netherlands,2003,Annual,PCT,20.9,1
529,Netherlands,2004,Annual,PCT,21.3,1
530,Netherlands,2005,Annual,PCT,22.1,1
531,Netherlands,2006,Annual,PCT,21.4,1
532,Netherlands,2007,Annual,PCT,20.2,1
533,Netherlands,2008,Annual,PCT,20.0,1
534,Netherlands,2009,Annual,PCT,20.0,1
535,Netherlands,2010,Annual,PCT,19.5,1
536,Netherlands,2011,Annual,PCT,19.3,1
537,Netherlands,2012,Annual,PCT,18.8,1
538,Netherlands,2013,Annual,PCT,18.2,1
539,Netherlands,2014,Annual,PCT,18.1,1
542,Netherlands,2015,Annual,PCT,17.7,1
540,Netherlands,2016,Annual,PCT,17.3,1
543,Netherlands,2017,Annual,PCT,16.8,1
541,Netherlands,2018,Annual,PCT,16.5,1
544,Netherlands,2019,Annual,PCT,15.4,1
545,Netherlands,2020,Annual,PCT,15.4,1
546,New Zealand,2000,Annual,PCT,22.4,1
547,New Zealand,2001,Annual,PCT,22.3,1
548,New Zealand,2002,Annual,PCT,21.8,1
549,New Zealand,2003,Annual,PCT,21.7,1
550,New Zealand,2004,Annual,PCT,21.7,1
551,New Zealand,2005,Annual,PCT,22.3,1
552,New Zealand,2006,Annual,PCT,21.8,1
553,New Zealand,2007,Annual,PCT,20.8,1
554,New Zealand,2008,Annual,PCT,21.4,1
555,New Zealand,2009,Annual,PCT,21.5,1
556,New Zealand,2010,Annual,PCT,21.4,1
557,New Zealand,2011,Annual,PCT,20.5,1
558,New Zealand,2012,Annual,PCT,20.3,1
559,New Zealand,2013,Annual,PCT,19.5,1
560,New Zealand,2014,Annual,PCT,18.6,1
563,New Zealand,2015,Annual,PCT,17.9,1
561,New Zealand,2016,Annual,PCT,17.8,1
564,New Zealand,2017,Annual,PCT,17.5,1
562,New Zealand,2018,Annual,PCT,17.7,1
565,New Zealand,2019,Annual,PCT,17.7,1
566,New Zealand,2020,Annual,PCT,17.7,1
567,Norway,2000,Annual,PCT,53.6,1
568,Norway,2001,Annual,PCT,52.6,1
569,Norway,2002,Annual,PCT,52.8,1
570,Norway,2003,Annual,PCT,51.8,1
571,Norway,2004,Annual,PCT,51.6,1
572,Norway,2005,Annual,PCT,51.2,1
573,Norway,2006,Annual,PCT,51.1,1
574,Norway,2007,Annual,PCT,50.1,1
575,Norway,2008,Annual,PCT,49.8,1
576,Norway,2009,Annual,PCT,50.3,1
577,Norway,2010,Annual,PCT,50.5,1
578,Norway,2011,Annual,PCT,49.9,1
579,Norway,2012,Annual,PCT,49.9,1
580,Norway,2013,Annual,PCT,49.8,1
581,Norway,2014,Annual,PCT,50.1,1
584,Norway,2015,Annual,PCT,49.8,1
582,Norway,2016,Annual,PCT,50.0,1
585,Norway,2017,Annual,PCT,50.0,1
583,Norway,2018,Annual,PCT,49.9,1
586,Norway,2019,Annual,PCT,50.4,1
587,Norway,2020,Annual,PCT,50.4,1
