,Time,Country,Value
239,2006,Colombia,9.6
278,2007,Colombia,11.5
317,2008,Colombia,9.6
356,2009,Colombia,9.4
395,2010,Colombia,9.2
434,2011,Colombia,9.1
473,2012,Colombia,9.1
512,2013,Colombia,9.7
551,2014,Colombia,9.6
590,2015,Colombia,9.4
629,2016,Colombia,9.5
668,2017,Colombia,9.5
707,2018,Colombia,16.6
746,2019,Colombia,26.1
785,2020,Colombia,27.2
6,2000,Costa Rica,14.3
45,2001,Costa Rica,13.5
84,2002,Costa Rica,14.3
123,2003,Costa Rica,14.5
162,2004,Costa Rica,13.9
201,2005,Costa Rica,13.3
240,2006,Costa Rica,12.9
279,2007,Costa Rica,11.5
318,2008,Costa Rica,12.0
357,2009,Costa Rica,13.0
396,2010,Costa Rica,12.9
435,2011,Costa Rica,13.4
474,2012,Costa Rica,13.1
513,2013,Costa Rica,13.7
552,2014,Costa Rica,12.4
591,2015,Costa Rica,18.6
630,2016,Costa Rica,19.3
669,2017,Costa Rica,19.3
708,2018,Costa Rica,19.4
747,2019,Costa Rica,20.5
786,2020,Costa Rica,27.2
7,2000,Czech Republic,27.2
46,2001,Czech Republic,23.8
85,2002,Czech Republic,22.4
124,2003,Czech Republic,22.3
163,2004,Czech Republic,20.6
202,2005,Czech Republic,19.1
241,2006,Czech Republic,18.1
280,2007,Czech Republic,17.4
319,2008,Czech Republic,16.9
358,2009,Czech Republic,16.7
397,2010,Czech Republic,16.1
436,2011,Czech Republic,15.4
475,2012,Czech Republic,14.8
514,2013,Czech Republic,13.6
553,2014,Czech Republic,12.9
592,2015,Czech Republic,11.9
631,2016,Czech Republic,11.9
670,2017,Czech Republic,11.7
709,2018,Czech Republic,11.4
748,2019,Czech Republic,20.5
787,2020,Czech Republic,27.2
8,2000,Denmark,74.5
47,2001,Denmark,73.9
86,2002,Denmark,73.6
125,2003,Denmark,72.4
164,2004,Denmark,71.7
203,2005,Denmark,71.5
242,2006,Denmark,69.7
281,2007,Denmark,69.0
320,2008,Denmark,68.8
359,2009,Denmark,68.9
398,2010,Denmark,68.1
437,2011,Denmark,68.7
476,2012,Denmark,69.0
515,2013,Denmark,68.8
554,2014,Denmark,68.5
593,2015,Denmark,68.2
632,2016,Denmark,67.4
671,2017,Denmark,66.7
710,2018,Denmark,67.5
749,2019,Denmark,67.0
788,2020,Denmark,27.2
9,2000,Estonia,14.0
48,2001,Estonia,14.0
87,2002,Estonia,12.6
126,2003,Estonia,11.0
165,2004,Estonia,9.4
204,2005,Estonia,8.7
243,2006,Estonia,8.4
282,2007,Estonia,7.6
321,2008,Estonia,6.2
360,2009,Estonia,7.6
399,2010,Estonia,8.2
438,2011,Estonia,7.0
477,2012,Estonia,6.0
516,2013,Estonia,5.6
555,2014,Estonia,5.3
594,2015,Estonia,4.5
633,2016,Estonia,5.0
672,2017,Estonia,4.7
711,2018,Estonia,5.9
750,2019,Estonia,6.0
789,2020,Estonia,27.2
10,2000,Finland,74.2
49,2001,Finland,76.6
88,2002,Finland,75.7
127,2003,Finland,74.5
166,2004,Finland,73.5
205,2005,Finland,72.7
244,2006,Finland,71.9
283,2007,Finland,71.1
322,2008,Finland,69.9
361,2009,Finland,72.5
400,2010,Finland,71.4
439,2011,Finland,69.6
478,2012,Finland,69.2
517,2013,Finland,67.5
556,2014,Finland,67.8
595,2015,Finland,67.5
634,2016,Finland,65.7
673,2017,Finland,62.9
712,2018,Finland,60.0
751,2019,Finland,58.8
790,2020,Finland,27.2
11,2000,France,10.8
50,2001,France,10.8
89,2002,France,10.8
128,2003,France,10.8
167,2004,France,10.5
206,2005,France,10.5
245,2006,France,71.9
284,2007,France,71.1
323,2008,France,10.6
362,2009,France,72.5
401,2010,France,10.8
440,2011,France,69.6
479,2012,France,69.2
518,2013,France,11.0
557,2014,France,67.8
596,2015,France,67.5
635,2016,France,10.8
674,2017,France,62.9
713,2018,France,60.0
752,2019,France,58.8
791,2020,France,27.2
12,2000,Germany,24.6
51,2001,Germany,23.7
90,2002,Germany,23.5
129,2003,Germany,23.0
168,2004,Germany,22.2
207,2005,Germany,21.5
246,2006,Germany,20.6
285,2007,Germany,19.8
324,2008,Germany,19.0
363,2009,Germany,18.8
402,2010,Germany,18.9
441,2011,Germany,18.4
480,2012,Germany,18.3
519,2013,Germany,18.0
558,2014,Germany,17.7
597,2015,Germany,17.6
636,2016,Germany,17.0
675,2017,Germany,16.7
714,2018,Germany,16.6
753,2019,Germany,16.3
792,2020,Germany,27.2
13,2000,Greece,24.6
52,2001,Greece,24.9
91,2002,Greece,23.5
130,2003,Greece,23.0
169,2004,Greece,24.1
208,2005,Greece,21.5
247,2006,Greece,20.6
286,2007,Greece,22.6
325,2008,Greece,19.0
364,2009,Greece,18.8
403,2010,Greece,22.2
442,2011,Greece,18.4
481,2012,Greece,18.3
520,2013,Greece,23.1
559,2014,Greece,17.7
598,2015,Greece,17.6
637,2016,Greece,19.0
676,2017,Greece,16.7
715,2018,Greece,16.6
754,2019,Greece,16.3
793,2020,Greece,27.2
14,2000,Hungary,23.8
53,2001,Hungary,20.4
92,2002,Hungary,23.5
131,2003,Hungary,18.9
170,2004,Hungary,17.9
209,2005,Hungary,17.3
248,2006,Hungary,20.6
287,2007,Hungary,22.6
326,2008,Hungary,15.3
365,2009,Hungary,18.8
404,2010,Hungary,22.2
443,2011,Hungary,18.4
482,2012,Hungary,12.5
521,2013,Hungary,23.1
560,2014,Hungary,11.0
599,2015,Hungary,17.6
638,2016,Hungary,9.2
677,2017,Hungary,16.7
716,2018,Hungary,8.3
755,2019,Hungary,16.3
794,2020,Hungary,27.2
15,2000,Iceland,89.1
54,2001,Iceland,88.9
93,2002,Iceland,93.3
132,2003,Iceland,86.5
171,2004,Iceland,84.1
210,2005,Iceland,84.1
249,2006,Iceland,85.2
288,2007,Iceland,84.9
327,2008,Iceland,84.7
366,2009,Iceland,84.9
405,2010,Iceland,85.2
444,2011,Iceland,85.0
483,2012,Iceland,85.3
522,2013,Iceland,88.9
561,2014,Iceland,90.4
600,2015,Iceland,91.6
639,2016,Iceland,90.4
678,2017,Iceland,91.0
717,2018,Iceland,90.7
756,2019,Iceland,90.7
795,2020,Iceland,92.2
16,2000,Ireland,35.9
55,2001,Ireland,35.0
94,2002,Ireland,35.1
133,2003,Ireland,34.9
172,2004,Ireland,33.6
211,2005,Ireland,32.4
250,2006,Ireland,31.7
289,2007,Ireland,30.5
328,2008,Ireland,30.9
367,2009,Ireland,31.9
406,2010,Ireland,31.6
445,2011,Ireland,31.6
484,2012,Ireland,30.1
523,2013,Ireland,28.5
562,2014,Ireland,26.3
601,2015,Ireland,25.4
640,2016,Ireland,23.4
679,2017,Ireland,24.3
718,2018,Ireland,24.1
757,2019,Ireland,25.1
796,2020,Ireland,26.2
17,2000,Israel,37.7
56,2001,Israel,35.0
95,2002,Israel,35.1
134,2003,Israel,34.9
173,2004,Israel,33.6
212,2005,Israel,32.4
251,2006,Israel,31.7
290,2007,Israel,30.3
329,2008,Israel,30.9
368,2009,Israel,31.9
407,2010,Israel,31.6
446,2011,Israel,31.6
485,2012,Israel,22.8
524,2013,Israel,28.5
563,2014,Israel,26.3
602,2015,Israel,25.4
641,2016,Israel,23.4
680,2017,Israel,25.0
719,2018,Israel,24.1
758,2019,Israel,25.1
797,2020,Israel,26.2
18,2000,Italy,34.8
57,2001,Italy,34.2
96,2002,Italy,33.7
135,2003,Italy,33.6
174,2004,Italy,34.0
213,2005,Italy,33.8
252,2006,Italy,33.6
291,2007,Italy,34.0
330,2008,Italy,33.9
369,2009,Italy,34.7
408,2010,Italy,35.3
447,2011,Italy,35.2
486,2012,Italy,35.5
525,2013,Italy,35.7
564,2014,Italy,35.4
603,2015,Italy,34.2
642,2016,Italy,33.6
681,2017,Italy,33.2
720,2018,Italy,32.6
759,2019,Italy,32.5
798,2020,Italy,26.2
19,2000,Japan,21.5
58,2001,Japan,20.9
97,2002,Japan,20.3
136,2003,Japan,19.7
175,2004,Japan,19.3
214,2005,Japan,18.8
253,2006,Japan,18.3
292,2007,Japan,18.3
331,2008,Japan,18.2
370,2009,Japan,18.5
409,2010,Japan,18.4
448,2011,Japan,19.0
487,2012,Japan,18.0
526,2013,Japan,17.8
565,2014,Japan,17.6
604,2015,Japan,17.5
643,2016,Japan,17.4
682,2017,Japan,17.2
721,2018,Japan,17.0
760,2019,Japan,16.8
799,2020,Japan,26.2
20,2000,Korea,11.4
59,2001,Korea,11.5
98,2002,Korea,11.3
137,2003,Korea,10.7
176,2004,Korea,10.3
215,2005,Korea,9.9
254,2006,Korea,10.0
293,2007,Korea,10.5
332,2008,Korea,10.2
371,2009,Korea,9.9
410,2010,Korea,9.6
449,2011,Korea,9.8
488,2012,Korea,9.9
527,2013,Korea,10.1
566,2014,Korea,10.1
605,2015,Korea,10.0
644,2016,Korea,10.0
683,2017,Korea,10.5
722,2018,Korea,11.6
761,2019,Korea,16.8
800,2020,Korea,26.2
21,2000,Latvia,11.4
60,2001,Latvia,11.5
99,2002,Latvia,11.3
138,2003,Latvia,21.0
177,2004,Latvia,10.3
216,2005,Latvia,9.9
255,2006,Latvia,18.0
294,2007,Latvia,16.7
333,2008,Latvia,15.2
372,2009,Latvia,15.2
411,2010,Latvia,15.1
450,2011,Latvia,13.7
489,2012,Latvia,13.2
528,2013,Latvia,12.9
567,2014,Latvia,12.8
606,2015,Latvia,12.7
645,2016,Latvia,12.4
684,2017,Latvia,12.3
723,2018,Latvia,11.6
762,2019,Latvia,16.8
801,2020,Latvia,26.2
22,2000,Lithuania,11.4
61,2001,Lithuania,18.5
100,2002,Lithuania,11.3
139,2003,Lithuania,12.2
178,2004,Lithuania,10.3
217,2005,Lithuania,9.9
256,2006,Lithuania,9.8
295,2007,Lithuania,9.3
334,2008,Lithuania,8.9
373,2009,Lithuania,10.0
412,2010,Lithuania,10.1
451,2011,Lithuania,9.7
490,2012,Lithuania,9.0
529,2013,Lithuania,8.4
568,2014,Lithuania,8.1
607,2015,Lithuania,7.9
646,2016,Lithuania,7.7
685,2017,Lithuania,7.7
724,2018,Lithuania,7.1
763,2019,Lithuania,7.4
802,2020,Lithuania,26.2
23,2000,Luxembourg,11.4
62,2001,Luxembourg,18.5
101,2002,Luxembourg,11.3
140,2003,Luxembourg,44.0
179,2004,Luxembourg,43.4
218,2005,Luxembourg,42.6
257,2006,Luxembourg,41.4
296,2007,Luxembourg,39.5
335,2008,Luxembourg,37.6
374,2009,Luxembourg,36.8
413,2010,Luxembourg,36.1
452,2011,Luxembourg,36.6
491,2012,Luxembourg,35.3
530,2013,Luxembourg,34.8
569,2014,Luxembourg,34.1
608,2015,Luxembourg,33.3
647,2016,Luxembourg,32.3
686,2017,Luxembourg,32.1
725,2018,Luxembourg,30.4
764,2019,Luxembourg,28.2
803,2020,Luxembourg,26.2
24,2000,Mexico,16.7
63,2001,Mexico,18.5
102,2002,Mexico,15.5
141,2003,Mexico,44.0
180,2004,Mexico,43.4
219,2005,Mexico,16.9
258,2006,Mexico,16.3
297,2007,Mexico,16.7
336,2008,Mexico,15.6
375,2009,Mexico,15.3
414,2010,Mexico,14.5
453,2011,Mexico,14.7
492,2012,Mexico,14.0
531,2013,Mexico,13.8
570,2014,Mexico,13.6
609,2015,Mexico,13.1
648,2016,Mexico,12.7
687,2017,Mexico,12.5
726,2018,Mexico,12.0
765,2019,Mexico,12.3
804,2020,Mexico,12.4
25,2000,Netherlands,22.3
64,2001,Netherlands,21.6
103,2002,Netherlands,21.4
142,2003,Netherlands,20.9
181,2004,Netherlands,21.3
220,2005,Netherlands,22.1
259,2006,Netherlands,21.4
298,2007,Netherlands,20.2
337,2008,Netherlands,20.0
376,2009,Netherlands,20.0
415,2010,Netherlands,19.5
454,2011,Netherlands,19.3
493,2012,Netherlands,18.8
532,2013,Netherlands,18.2
571,2014,Netherlands,18.1
610,2015,Netherlands,17.7
649,2016,Netherlands,17.3
688,2017,Netherlands,16.8
727,2018,Netherlands,16.5
766,2019,Netherlands,15.4
805,2020,Netherlands,12.4
26,2000,New Zealand,22.4
65,2001,New Zealand,22.3
104,2002,New Zealand,21.8
143,2003,New Zealand,21.7
182,2004,New Zealand,21.7
221,2005,New Zealand,22.3
260,2006,New Zealand,21.8
299,2007,New Zealand,20.8
338,2008,New Zealand,21.4
377,2009,New Zealand,21.5
416,2010,New Zealand,21.4
455,2011,New Zealand,20.5
494,2012,New Zealand,20.3
533,2013,New Zealand,19.5
572,2014,New Zealand,18.6
611,2015,New Zealand,17.9
650,2016,New Zealand,17.8
689,2017,New Zealand,17.5
728,2018,New Zealand,17.7
767,2019,New Zealand,15.4
806,2020,New Zealand,12.4
27,2000,Norway,53.6
66,2001,Norway,52.6
105,2002,Norway,52.8
144,2003,Norway,51.8
183,2004,Norway,51.6
222,2005,Norway,51.2
261,2006,Norway,51.1
300,2007,Norway,50.1
339,2008,Norway,49.8
378,2009,Norway,50.3
417,2010,Norway,50.5
456,2011,Norway,49.9
495,2012,Norway,49.9
534,2013,Norway,49.8
573,2014,Norway,50.1
612,2015,Norway,49.8
651,2016,Norway,50.0
690,2017,Norway,50.0
729,2018,Norway,49.9
768,2019,Norway,50.4
807,2020,Norway,12.4
28,2000,OECD - Total,20.9
67,2001,OECD - Total,20.3
106,2002,OECD - Total,20.0
145,2003,OECD - Total,19.7
184,2004,OECD - Total,19.3
223,2005,OECD - Total,19.0
262,2006,OECD - Total,18.3
301,2007,OECD - Total,18.2
340,2008,OECD - Total,18.0
379,2009,OECD - Total,18.1
418,2010,OECD - Total,17.8
457,2011,OECD - Total,17.7
496,2012,OECD - Total,17.3
535,2013,OECD - Total,17.1
574,2014,OECD - Total,16.8
613,2015,OECD - Total,16.5
652,2016,OECD - Total,16.2
691,2017,OECD - Total,16.0
730,2018,OECD - Total,15.9
769,2019,OECD - Total,15.8
808,2020,OECD - Total,12.4
29,2000,Poland,23.5
68,2001,Poland,22.3
107,2002,Poland,22.8
146,2003,Poland,22.9
185,2004,Poland,22.9
224,2005,Poland,23.8
263,2006,Poland,17.9
302,2007,Poland,16.7
341,2008,Poland,15.7
380,2009,Poland,15.4
419,2010,Poland,17.4
458,2011,Poland,17.3
497,2012,Poland,16.6
536,2013,Poland,17.1
575,2014,Poland,16.5
614,2015,Poland,16.5
653,2016,Poland,14.1
692,2017,Poland,13.4
731,2018,Poland,15.9
770,2019,Poland,15.8
809,2020,Poland,12.4
30,2000,Portugal,23.5
69,2001,Portugal,22.3
108,2002,Portugal,20.5
147,2003,Portugal,21.1
186,2004,Portugal,21.6
225,2005,Portugal,23.8
264,2006,Portugal,21.1
303,2007,Portugal,16.7
342,2008,Portugal,20.7
381,2009,Portugal,20.4
420,2010,Portugal,19.6
459,2011,Portugal,18.6
498,2012,Portugal,16.6
537,2013,Portugal,17.1
576,2014,Portugal,16.5
615,2015,Portugal,16.1
654,2016,Portugal,15.3
693,2017,Portugal,13.4
732,2018,Portugal,15.9
771,2019,Portugal,15.8
810,2020,Portugal,12.4
31,2000,Slovak Republic,34.2
70,2001,Slovak Republic,32.5
109,2002,Slovak Republic,30.1
148,2003,Slovak Republic,27.7
187,2004,Slovak Republic,25.4
226,2005,Slovak Republic,23.5
265,2006,Slovak Republic,20.6
304,2007,Slovak Republic,18.7
343,2008,Slovak Republic,16.8
382,2009,Slovak Republic,16.0
421,2010,Slovak Republic,16.4
460,2011,Slovak Republic,14.5
499,2012,Slovak Republic,14.5
538,2013,Slovak Republic,14.1
577,2014,Slovak Republic,13.4
616,2015,Slovak Republic,12.6
655,2016,Slovak Republic,11.8
694,2017,Slovak Republic,11.5
733,2018,Slovak Republic,11.3
772,2019,Slovak Republic,15.8
811,2020,Slovak Republic,12.4
32,2000,Slovenia,44.2
71,2001,Slovenia,43.3
110,2002,Slovenia,47.1
149,2003,Slovenia,45.3
188,2004,Slovenia,37.1
227,2005,Slovenia,37.5
266,2006,Slovenia,32.2
305,2007,Slovenia,30.6
344,2008,Slovenia,29.7
383,2009,Slovenia,40.4
422,2010,Slovenia,32.6
461,2011,Slovenia,36.7
500,2012,Slovenia,26.8
539,2013,Slovenia,26.2
578,2014,Slovenia,29.4
617,2015,Slovenia,23.8
656,2016,Slovenia,11.8
695,2017,Slovenia,11.5
734,2018,Slovenia,11.3
773,2019,Slovenia,15.8
812,2020,Slovenia,12.4
33,2000,Spain,17.5
72,2001,Spain,17.2
111,2002,Spain,16.8
150,2003,Spain,16.5
189,2004,Spain,16.0
228,2005,Spain,15.5
267,2006,Spain,15.6
306,2007,Spain,16.4
345,2008,Spain,17.4
384,2009,Spain,18.3
423,2010,Spain,18.2
462,2011,Spain,17.9
501,2012,Spain,17.8
540,2013,Spain,17.0
579,2014,Spain,15.8
618,2015,Spain,14.4
657,2016,Spain,13.9
696,2017,Spain,13.4
735,2018,Spain,13.0
774,2019,Spain,12.5
813,2020,Spain,12.4
34,2000,Sweden,81.0
73,2001,Sweden,78.7
112,2002,Sweden,78.0
151,2003,Sweden,77.2
190,2004,Sweden,76.4
229,2005,Sweden,75.7
268,2006,Sweden,74.3
307,2007,Sweden,70.8
346,2008,Sweden,68.3
385,2009,Sweden,68.4
424,2010,Sweden,68.2
463,2011,Sweden,67.5
502,2012,Sweden,67.5
541,2013,Sweden,67.7
580,2014,Sweden,67.3
619,2015,Sweden,67.0
658,2016,Sweden,66.7
697,2017,Sweden,66.1
736,2018,Sweden,65.5
775,2019,Sweden,65.2
814,2020,Sweden,12.4
35,2000,Switzerland,20.7
74,2001,Switzerland,20.2
113,2002,Switzerland,20.3
152,2003,Switzerland,20.4
191,2004,Switzerland,19.9
230,2005,Switzerland,19.8
269,2006,Switzerland,19.3
308,2007,Switzerland,18.9
347,2008,Switzerland,17.9
386,2009,Switzerland,17.7
425,2010,Switzerland,17.6
464,2011,Switzerland,17.0
503,2012,Switzerland,16.5
542,2013,Switzerland,16.6
581,2014,Switzerland,16.1
620,2015,Switzerland,15.7
659,2016,Switzerland,15.3
698,2017,Switzerland,14.9
737,2018,Switzerland,14.4
776,2019,Switzerland,65.2
815,2020,Switzerland,12.4
36,2000,Türkiye,12.5
75,2001,Türkiye,12.5
114,2002,Türkiye,11.9
153,2003,Türkiye,11.2
192,2004,Türkiye,10.5
231,2005,Türkiye,10.3
270,2006,Türkiye,9.4
309,2007,Türkiye,8.3
348,2008,Türkiye,7.3
387,2009,Türkiye,7.3
426,2010,Türkiye,7.3
465,2011,Türkiye,7.1
504,2012,Türkiye,6.3
543,2013,Türkiye,6.3
582,2014,Türkiye,6.9
621,2015,Türkiye,8.0
660,2016,Türkiye,8.2
699,2017,Türkiye,8.6
738,2018,Türkiye,9.2
777,2019,Türkiye,9.9
816,2020,Türkiye,12.4
37,2000,United Kingdom,29.8
76,2001,United Kingdom,29.3
115,2002,United Kingdom,28.8
154,2003,United Kingdom,29.3
193,2004,United Kingdom,28.8
232,2005,United Kingdom,28.6
271,2006,United Kingdom,28.3
310,2007,United Kingdom,28.0
349,2008,United Kingdom,27.5
388,2009,United Kingdom,27.4
427,2010,United Kingdom,26.6
466,2011,United Kingdom,26.0
505,2012,United Kingdom,26.1
544,2013,United Kingdom,25.6
583,2014,United Kingdom,25.0
622,2015,United Kingdom,24.7
661,2016,United Kingdom,23.6
700,2017,United Kingdom,23.3
739,2018,United Kingdom,23.4
778,2019,United Kingdom,23.5
817,2020,United Kingdom,12.4
38,2000,United States,12.9
77,2001,United States,12.9
116,2002,United States,12.8
155,2003,United States,12.4
194,2004,United States,12.0
233,2005,United States,12.0
272,2006,United States,11.5
311,2007,United States,11.6
350,2008,United States,11.9
389,2009,United States,11.8
428,2010,United States,11.4
467,2011,United States,11.3
506,2012,United States,10.8
545,2013,United States,10.8
584,2014,United States,10.7
623,2015,United States,10.6
662,2016,United States,10.3
701,2017,United States,10.3
740,2018,United States,10.1
779,2019,United States,9.9
818,2020,United States,10.3
